Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
2010,1,Alameda,198.5,196.5,207
2010,2,Rio Grande Nature Center,171.8,196.2,184
2010,3,Los Lunas,162.8,217.8,190.3
2010,4,Belen,158.60000000000002,151,154.8
2010,5,Santa Ana,198,213.3,206.4
2010,6,Savannah,138.9,230.3,184.6
2010,7,Lemitar,125.5,151.5,162.5
2010,8,Hispanic Cultural Center,175.7,233.39999999999998,204.55
2010,9,Ohkay Owingeh,143.4,253.8,241.6
2010,10,Diversion,128.5,212.6,170.55
2010,11,Calabacillas,106,188.1,179.05
2010,12,Minnow,123.9,195.89999999999998,159.89999999999998
2010,13,Harrison,110.5,211.5,171.25
2010,14,Sevilleta,112,128.5,129.75
2010,15,Valencia Cleared,130.89999999999998,165.5,167.85000000000002
2010,16,Valencia Forest,199.89999999999998,190.7,195.3
2010,17,Montano,103.4,220.3,174.1
2010,18,Reynolds Cleared,111.2,188.7,149.95000000000002
2010,19,Reynolds Forest,115.3,183.8,166.20000000000002
2010,20,Route 66,123.8,247.8,185.8
2010,21,Badger,126.89999999999999,154.5,159.7
2010,22,Bobcat,176.1,276.7,226.4
2010,23,BioPark,210.8,302,256.4
2010,24,Santo Domingo,293.7,357.5,325.6
2010,25,Crawford,0,0,0
2011,1,Alameda,102.1,118.5,110.30000000000001
2011,2,Rio Grande Nature Center,119.5,152.8,136.15
2011,3,Los Lunas,150.5,183.5,167
2011,4,Belen,130,157,143.5
2011,5,Santa Ana,124.6,165.9,145.25
2011,6,Savannah,85.5,106,109.75
2011,7,Lemitar,119,110.5,141.6
2011,8,Hispanic Cultural Center,101,159.1,143.3
2011,9,Ohkay Owingeh,141.3,182,162.15
2011,10,Diversion,57.5,116.7,87.1
2011,11,Calabacillas,83.8,115.5,99.65
2011,12,Minnow,60,12.6,63.05
2011,13,Harrison,81.2,142.1,111.65
2011,14,Sevilleta,58.3,95.8,104.3
2011,15,Valencia Cleared,94.5,100.8,133.65
2011,16,Valencia Forest,134.9,159,158.7
2011,17,Montano,57.2,166.1,129.65
2011,18,Reynolds Cleared,78,138.1,108.05
2011,19,Reynolds Forest,114,151.3,132.65
2011,20,Route 66,69,138,103.5
2011,21,Badger,59.3,103.1,81.19999999999999
2011,22,Bobcat,44.3,43.3,58.3
2011,23,BioPark,102.9,142.7,122.80000000000001
2011,24,Santo Domingo,97.5,153,125.25
2011,25,Crawford,98,107.8,102.9
2011,26,Mesilla,102.5,140.5,121.5
2012,1,Alameda,70.8,92,82.15
2012,2,Rio Grande Nature Center,71.5,95.5,83.5
2012,3,Los Lunas,93,131.1,112.05
2012,4,Belen,158.8,159.7,159.25
2012,5,Santa Ana,88.4,113.5,100.94999999999999
2012,6,Savannah,84,50.6,93.3
2012,7,Lemitar,84.5,119.7,106.6
2012,8,Hispanic Cultural Center,73.6,122.1,97.85000000000001
2012,9,Ohkay Owingeh,65.8,138.7,129.25
2012,10,Diversion,55.5,75.8,71.65
2012,11,Calabacillas,59.099999999999994,65.8,71.7
2012,12,Minnow,42.6,52.7,59
2012,13,Harrison,65.8,120.1,95.1
2012,14,Sevilleta,56.8,87.5,75.65
2012,15,Valencia Cleared,120,138.7,140.1
2012,16,Valencia Forest,169.5,193,181.25
2012,17,Montano,51.5,151.5,118
2012,18,Reynolds Cleared,95.8,151,123.4
2012,19,Reynolds Forest,109.5,156.5,143.25
2012,20,Route 66,44.89999999999999,94.9,69.9
2012,21,Badger,62.5,107,84.75
2012,22,Bobcat,49.099999999999994,89.2,69.15
2012,23,BioPark,69.3,105.2,87.75000000000001
2012,24,Santo Domingo,46.099999999999994,77.8,61.949999999999996
2012,25,Crawford,130.2,165.8,148
2012,26,Mesilla,95.4,119.5,107.45
2012,27,Bosque Farm,32,0,32
2013,1,Alameda,204.3,234.8,220.3
2013,2,Rio Grande Nature Center,154.60000000000002,164.3,160.10000000000002
2013,3,Los Lunas,177.2,244.9,216.8
2013,4,Belen,237,258.8,259.4
2013,5,Santa Ana,195.7,249.3,222.5
2013,6,Savannah,124.6,157.2,150.4
2013,7,Lemitar,179.8,92,191.9
2013,8,Hispanic Cultural Center,137.8,259.8,240.3
2013,9,Ohkay Owingeh,129.6,229.9,233.25
2013,10,Diversion,168.60000000000002,239.6,204.85
2013,11,Calabacillas,188.5,246.6,217.55
2013,12,Minnow,163,256.7,209.85000000000002
2013,13,Harrison,133.7,252.3,229
2013,14,Sevilleta,170.6,199.2,184.9
2013,15,Valencia Cleared,176.1,242.3,212.70000000000002
2013,16,Valencia Forest,248.8,254.3,253.05
2013,17,Montano,101,194,157
2013,18,Reynolds Cleared,113.3,147.3,143.3
2013,19,Reynolds Forest,75,212.9,202.45000000000002
2013,20,Route 66,72.8,235.8,205.8
2013,21,Badger,183.5,229.7,206.6
2013,22,Bobcat,160.7,231.10000000000002,195.9
2013,23,BioPark,194.8,257.1,225.95
2013,24,Santo Domingo,267.1,377.3,322.7
2013,25,Crawford,214.29999999999998,265.2,239.75
2013,26,Mesilla,20.1,19.5,19.8
2013,27,Bosque Farm,111.5,168.5,142.25
2014,1,Alameda,95.5,134.8,122.9
2014,2,Rio Grande Nature Center,119.8,139.8,133.55
2014,3,Los Lunas,121,141.1,131.05
2014,4,Belen,150.1,214.3,196.5
2014,5,Santa Ana,139.8,183.5,161.65
2014,6,Savannah,66.9,189.1,128
2014,7,Lemitar,125.6,198.6,162.10000000000002
2014,8,Hispanic Cultural Center,151,191.6,171.3
2014,9,Ohkay Owingeh,227,240.3,233.65
2014,10,Diversion,61,151.5,106.25
2014,11,Calabacillas,90,159.3,124.65
2014,12,Minnow,63,133.7,104.35000000000001
2014,13,Harrison,163.5,221.8,192.65
2014,14,Sevilleta,30.8,60.8,82.45
2014,15,Valencia Cleared,143.8,204.60000000000002,178.7
2014,16,Valencia Forest,231.2,225,228.5
2014,17,Montano,75.3,186,130.65
2014,18,Reynolds Cleared,100.3,203,151.65
2014,19,Reynolds Forest,147.6,210.2,178.9
2014,20,Route 66,58.7,175.5,136.1
2014,21,Badger,79.5,115.1,97.3
2014,22,Bobcat,65.2,138,111.35
2014,23,BioPark,123.2,174,148.6
2014,24,Santo Domingo,108.3,181.3,144.8
2014,25,Crawford,182.5,229.5,206
2014,26,Mesilla,167.6,213.39999999999998,190.5
2014,27,Bosque Farm,62.2,120.1,95
2014,28,Valle de Oro,0,0,0
2014,29,Albuquerque Overbank Project,0,0,0
2014,30,State Land Office,100,147,123.5
2015,1,Alameda,280.5,315.8,298.15
2015,2,Rio Grande Nature Center,272.3,303,287.65
2015,3,Los Lunas,102.3,193,176.15
2015,4,Belen,190.2,305.4,251.3
2015,5,Santa Ana,257,356.5,306.75
2015,6,Savannah,133.5,353,284.75
2015,7,Lemitar,162,247.5,204.75
2015,8,Hispanic Cultural Center,184.1,111.1,204.6
2015,9,Ohkay Owingeh,351.5,318.3,348.9
2015,10,Diversion,187.3,330.6,258.95
2015,11,Calabacillas,178.3,320.3,258.05
2015,12,Minnow,177.9,286,231.95
2015,13,Harrison,174,304.9,251.45
2015,14,Sevilleta,149.3,211,183.65
2015,15,Valencia Cleared,202.5,192.5,216
2015,16,Valencia Forest,252.4,310.20000000000005,281.29999999999995
2015,17,Montano,156,339,247.5
2015,18,Reynolds Cleared,166,292.5,229.25
2015,19,Reynolds Forest,217.7,320.5,287.6
2015,20,Route 66,118.7,306.2,212.45
2015,21,Badger,166,294.5,230.25
2015,22,Bobcat,151.9,277.5,223.7
2015,23,BioPark,214.5,293.2,253.85
2015,24,Santo Domingo,179.7,286.5,234.45
2015,25,Crawford,252.6,308,280.3
2015,26,Mesilla,57.7,116.39999999999999,87.05000000000001
2015,27,Bosque Farm,0,0,0
2015,28,Valle de Oro,0,149.7,149.7
2015,29,Albuquerque Overbank Project,149.9,280.2,215.05
2015,30,State Land Office,230.3,311.1,270.7
2015,31,San Jose,0,0,0
2016,1,Alameda,103,114,130.5
2016,2,Rio Grande Nature Center,123.8,112.5,134.4
2016,3,Los Lunas,86.3,120.5,103.4
2016,4,Belen,99.8,161.5,130.65
2016,5,Santa Ana,91.1,110,127.6
2016,6,Savannah,57.3,160.6,115.45
2016,7,Lemitar,188,242.5,215.25
2016,8,Hispanic Cultural Center,117,32.5,123.75
2016,9,Ohkay Owingeh,0,0,0
2016,10,Diversion,84.4,156,140.8
2016,11,Calabacillas,86,158.5,134.5
2016,12,Minnow,70.2,168.6,119.64999999999999
