Site name,Year,Latitude,Unique species
Santa Ana,2021,35.34284,6
Santa Ana,2022,35.34284,8
Santa Ana,2023,35.34284,10
Santo Domingo,2007,35.50989,28
Santo Domingo,2008,35.50989,31
Santo Domingo,2009,35.50989,38
Santo Domingo,2011,35.50989,24
Santo Domingo,2012,35.50989,22
Santo Domingo,2013,35.50989,40
Santo Domingo,2014,35.50989,50
Santo Domingo,2015,35.50989,49
Santo Domingo,2016,35.50989,19
Santo Domingo,2017,35.50989,26
Santo Domingo,2018,35.50989,25
Santo Domingo,2019,35.50989,30
Santo Domingo,2022,35.50989,47
Savannah,2000,35.1428674147,33
Savannah,2001,35.1428674147,27
Savannah,2002,35.1428674147,25
Savannah,2003,35.1428674147,21
Savannah,2004,35.1428674147,27
Savannah,2005,35.1428674147,27
Savannah,2006,35.1428674147,31
Savannah,2007,35.1428674147,26
Savannah,2008,35.1428674147,25
Savannah,2009,35.1428674147,28
Savannah,2010,35.1428674147,30
Savannah,2011,35.1428674147,26
Savannah,2012,35.1428674147,31
Savannah,2013,35.1428674147,21
Savannah,2014,35.1428674147,28
Savannah,2015,35.1428674147,32
Savannah,2016,35.1428674147,29
Savannah,2017,35.1428674147,29
Savannah,2018,35.1428674147,36
Savannah,2019,35.1428674147,37
Savannah,2020,35.1428674147,32
Savannah,2021,35.1428674147,33
Savannah,2023,35.1428674147,34
Sevilleta,2003,34.2586573236,22
Sevilleta,2004,34.2586573236,26
Sevilleta,2005,34.2586573236,24
Sevilleta,2006,34.2586573236,23
Sevilleta,2007,34.2586573236,21
Sevilleta,2008,34.2586573236,23
Sevilleta,2009,34.2586573236,15
Sevilleta,2010,34.2586573236,18
Sevilleta,2011,34.2586573236,15
Sevilleta,2012,34.2586573236,16
Sevilleta,2013,34.2586573236,15
Sevilleta,2014,34.2586573236,14
Sevilleta,2015,34.2586573236,14
Sevilleta,2016,34.2586573236,15
Sevilleta,2017,34.2586573236,14
Sevilleta,2018,34.2586573236,12
Sevilleta,2019,34.2586573236,14
Sevilleta,2020,34.2586573236,13
Sevilleta,2021,34.2586573236,16
Sevilleta,2022,34.2586573236,19
Sevilleta,2023,34.2586573236,21
State Land Office,2014,34.9679188689,27
State Land Office,2015,34.9679188689,36
State Land Office,2016,34.9679188689,37
State Land Office,2017,34.9679188689,35
State Land Office,2018,34.9679188689,32
State Land Office,2019,34.9679188689,37
State Land Office,2020,34.9679188689,40
State Land Office,2021,34.9679188689,35
State Land Office,2022,34.9679188689,43
Valencia Cleared,2003,34.6486505386211,11
Valencia Cleared,2004,34.6486505386211,14
Valencia Cleared,2005,34.6486505386211,12
Valencia Cleared,2006,34.6486505386211,15
Valencia Cleared,2007,34.6486505386211,12
Valencia Cleared,2008,34.6486505386211,11
Valencia Cleared,2009,34.6486505386211,11
Valencia Cleared,2010,34.6486505386211,12
Valencia Cleared,2011,34.6486505386211,13
Valencia Cleared,2012,34.6486505386211,11
Valencia Cleared,2013,34.6486505386211,12
Valencia Cleared,2014,34.6486505386211,13
Valencia Cleared,2015,34.6486505386211,13
Valencia Cleared,2016,34.6486505386211,13
Valencia Cleared,2017,34.6486505386211,12
Valencia Cleared,2018,34.6486505386211,13
Valencia Cleared,2019,34.6486505386211,14
Valencia Cleared,2020,34.6486505386211,12
Valencia Cleared,2021,34.6486505386211,12
Valencia Cleared,2022,34.6486505386211,11
Valencia Forest,2003,34.6472147233729,14
Valencia Forest,2004,34.6472147233729,17
Valencia Forest,2005,34.6472147233729,18
Valencia Forest,2006,34.6472147233729,18
Valencia Forest,2007,34.6472147233729,20
Valencia Forest,2008,34.6472147233729,20
Valencia Forest,2009,34.6472147233729,17
Valencia Forest,2010,34.6472147233729,16
Valencia Forest,2011,34.6472147233729,11
Valencia Forest,2012,34.6472147233729,12
Valencia Forest,2013,34.6472147233729,14
Valencia Forest,2014,34.6472147233729,11
Valencia Forest,2015,34.6472147233729,14
Valencia Forest,2016,34.6472147233729,13
Valencia Forest,2017,34.6472147233729,11
Valencia Forest,2018,34.6472147233729,13
Valencia Forest,2019,34.6472147233729,13
Valencia Forest,2020,34.6472147233729,13
Valencia Forest,2021,34.6472147233729,13
Valencia Forest,2022,34.6472147233729,15
Valencia Forest,2023,34.6472147233729,16
Valle de Oro,2014,34.9797688406,37
Valle de Oro,2016,34.9797688406,29
Valle de Oro,2017,34.9797688406,25
Valle de Oro,2022,34.9797688406,21
Valle de Oro,2023,34.9797688406,15
