Year,Site number,Site name,Latitude,Longitude,Annual mean depth to groundwater cm,Lag of mean annual depth to groundwater
2016,28,Valle de Oro,34.979,-106.6801,-128.31166666666667,-130.28958333333333
2016,29,Albuquerque Overbank Project,35.0455,-106.6657,-102.8025,-101.54
2016,30,State Land Office,34.9679,-106.6856,-135.53541666666666,-126.23166666666667
2016,31,San Jose,35.0124,-106.6728,-102.19166666666666,-55.1
2017,1,Alameda,35.1875,-106.6459,-255.82333333333332,-268.465
2017,2,Rio Grande Nature Center,35.127,-106.6854,-174.77666666666667,-183.38666666666666
2017,3,Los Lunas,34.8124,-106.7145,-132.475,-149.525
2017,4,Belen,34.6484,-106.7377,-93.55166666666666,-123.37333333333333
2017,6,Savannah,35.1429,-106.682,-87.99541666666667,-101.27272727272727
2017,7,Lemitar,34.167,-106.8899,-278.79833333333335,-274.04833333333335
2017,8,Hispanic Cultural Center,35.0688,-106.6581,-105.36545454545454,-122.77333333333334
2017,10,Diversion,35.1908,-106.6429,-216.82181818181817,-230.3975
2017,11,Calabacillas,35.1906,-106.6492,-133.42727272727274,-154.02958333333333
2017,12,Minnow,35.1932,-106.6469,-139.96,-151.32666666666668
2017,13,Harrison,35.0151,-106.6737,-84.26333333333334,-109.205
2017,14,Sevilleta,34.2583,-106.8832,-170.83,-190.93
2017,15,Valencia Cleared,34.6486,-106.7392,-81.41666666666667,-100.17999999999999
2017,16,Valencia Forest,34.6472,-106.7385,-133.32,-156.25333333333333
2017,17,Montano,35.1453,-106.6804,-143.41333333333333,-156.76833333333335
2017,18,Reynolds Cleared,34.6597,-106.7421,-103.11208333333333,-123.99666666666667
2017,19,Reynolds Forest,34.6605,-106.743,-100.3,-119.59166666666667
2017,20,Route 66,35.1006,-106.6915,-93.67916666666666,-106.98666666666666
2017,21,Badger,35.1956,-106.6402,-232.24666666666667,-232.8
2017,22,Bobcat,35.1971,-106.6439,-93.77454545454546,-101.22
2017,23,BioPark,35.079,-106.668,-119.505,-138.15833333333333
2017,25,Crawford,34.6384,-106.7428,-109.27833333333334,-138.65166666666667
2017,26,Mesilla,32.2483,-106.821,-133.35,-159.4725
2017,27,Bosque Farm,34.8489,-106.7147,-90.87333333333333,-116.58263888888884
2017,28,Valle de Oro,34.979,-106.6801,-112.80375,-128.31166666666667
2017,29,Albuquerque Overbank Project,35.0455,-106.6657,-80.05,-102.8025
2017,30,State Land Office,34.9679,-106.6856,-125.57111111111111,-135.53541666666666
2017,31,San Jose,35.0124,-106.6728,-73.37291666666667,-102.19166666666666
2018,1,Alameda,35.1875,-106.6459,-292.12333333333333,-255.82333333333332
2018,2,Rio Grande Nature Center,35.127,-106.6854,-187.66833333333335,-174.77666666666667
2018,3,Los Lunas,34.8124,-106.7145,-166.69666666666666,-132.475
2018,4,Belen,34.6484,-106.7377,-140.19666666666666,-93.55166666666666
2018,6,Savannah,35.1429,-106.682,-112.08666666666667,-87.99541666666667
2018,7,Lemitar,34.167,-106.8899,-289.765,-278.79833333333335
2018,8,Hispanic Cultural Center,35.0688,-106.6581,-131.42291666666665,-105.36545454545454
2018,10,Diversion,35.1908,-106.6429,-264.49833333333333,-216.82181818181817
2018,11,Calabacillas,35.1906,-106.6492,-191.23818181818183,-133.42727272727274
2018,12,Minnow,35.1932,-106.6469,-187.70833333333334,-139.96
